wan

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
50,0.048,0.233,0.037,0.611,0.312,13,16
51,0.022,0.083,0.020,0.286,0.134,4,5
52,0.041,0.224,0.046,0.692,0.302,11,11
53,0.080,0.160,0.060,0.500,0.432,4,8
54,0.111,0.121,0.050,0.375,0.362,3,8
55,1.000,0.000,1.000,0.000,1.000,0,6
56,0.048,0.193,0.054,0.471,0.219,14,11
57,0.021,0.035,0.000,0.200,0.000,1,5
58,1.000,0.000,1.000,0.000,1.000,0,3
59,0.014,0.159,0.008,0.333,0.098,3,5
60,0.080,0.160,0.060,0.500,0.432,4,8
61,0.032,0.100,0.014,0.143,0.188,4,12
62,0.021,0.023,0.000,0.286,0.000,3,6
63,0.029,0.176,0.023,0.286,0.225,9,9
64,0.009,0.087,0.013,0.083,0.098,8,5
65,0.021,0.016,0.000,0.375,0.000,3,8
66,0.046,0.227,0.028,0.556,0.276,5,9
67,0.020,0.086,0.008,0.083,0.061,6,7
68,1.000,0.000,1.000,0.000,1.000,0,4
69,0.000,0.000,0.000,0.200,0.000,1,5
70,0.000,0.000,0.000,0.500,0.000,2,4
71,0.014,0.084,0.013,0.400,0.081,7,7
72,0.010,0.049,0.007,0.500,0.043,3,3
73,1.000,0.000,1.000,0.000,1.000,0,3
74,0.000,0.000,0.000,0.250,0.000,1,4
75,1.000,0.000,1.000,0.000,1.000,0,2
76,1.000,0.000,1.000,0.000,1.000,0,2
77,0.002,0.167,0.000,0.500,0.000,1,2
78,0.027,0.067,0.021,0.500,0.163,2,4
79,1.000,0.000,1.000,0.000,1.000,0,2

strong
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.028,0.100,0.019,0.333,0.130,4,8
1,0.049,0.165,0.025,0.444,0.283,4,9
2,0.043,0.364,0.048,0.727,0.316,11,8
3,0.038,0.196,0.018,0.400,0.168,4,10
4,0.020,0.312,0.047,0.250,0.206,12,3
5,0.028,0.119,0.019,0.200,0.103,5,7
