bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
55,0.017,0.133,0.029,0.250,0.138,6,4
56,0.000,0.000,0.000,0.000,0.000,2,5
57,0.047,0.035,0.068,0.192,0.069,17,14
58,0.012,0.059,0.013,0.375,0.032,6,5
59,0.047,0.057,0.011,0.000,0.111,3,10
60,0.043,0.071,0.029,0.286,0.251,3,6
61,1.000,0.000,1.000,0.000,0.000,1,3
62,0.012,0.040,0.017,0.182,0.048,8,5
63,0.000,0.000,0.000,0.000,0.000,1,4
64,0.008,0.025,0.028,0.000,0.117,5,4
65,1.000,0.000,1.000,0.000,1.000,0,6
66,0.000,0.000,0.000,0.333,0.000,3,5
67,0.000,0.000,0.000,0.143,0.000,4,4
68,0.000,0.000,0.000,0.000,0.000,2,2
69,0.000,0.000,0.000,0.000,0.000,4,3
70,0.023,0.059,0.027,0.333,0.083,4,4
71,0.027,0.049,0.023,0.467,0.061,10,12
72,0.000,0.000,0.000,0.250,0.000,3,2
73,1.000,0.000,1.000,0.000,1.000,0,3
74,0.000,0.000,0.000,0.000,0.000,3,1
75,0.047,0.046,0.013,0.250,0.067,5,15
76,0.000,0.000,0.000,0.000,0.000,3,8
77,0.029,0.063,0.000,0.200,0.000,2,4
78,0.000,0.000,0.000,0.111,0.000,2,8
79,0.000,0.000,0.000,0.143,0.000,2,6
80,1.000,0.000,1.000,0.000,1.000,0,3
81,0.000,0.000,0.000,0.000,0.000,1,2
82,0.020,0.053,0.026,0.286,0.076,10,8
83,0.038,0.104,0.007,0.286,0.022,3,6
84,0.027,0.044,0.046,0.182,0.115,6,7
85,0.047,0.113,0.045,0.200,0.126,7,5
86,0.067,0.090,0.014,0.286,0.042,3,6
87,0.009,0.034,0.008,0.077,0.015,11,3
88,0.034,0.052,0.018,0.000,0.058,6,9
89,0.000,0.000,0.000,0.000,0.000,2,1
90,0.000,0.000,0.000,0.286,0.000,3,6
91,0.000,0.000,0.000,0.000,0.000,4,6
92,0.014,0.032,0.020,0.444,0.044,7,6
93,0.001,0.056,0.005,0.167,0.050,5,2
94,0.008,0.192,0.007,0.500,0.137,4,5
